2024-10-06 18:23:10,354 - INFO - Début de la mise à jour des 2618 lignes.
2024-10-06 18:23:10,607 - INFO - Ligne 18/2618 : Mise à jour de la date et heure pour 5.03460199976914, -52.5637929997931
2024-10-06 18:23:10,625 - INFO - Succès : Mise à jour effectuée pour Latitude 5.03460199976914, Longitude -52.5637929997931
2024-10-06 18:23:10,626 - INFO - Ligne 19/2618 : Mise à jour de la date et heure pour 48.5135100002817, -2.74952999981289
2024-10-06 18:23:10,642 - INFO - Succès : Mise à jour effectuée pour Latitude 48.5135100002817, Longitude -2.74952999981289
2024-10-06 18:23:10,642 - INFO - Ligne 20/2618 : Mise à jour de la date et heure pour 49.0213399997733, 1.14831899956664
2024-10-06 18:23:10,655 - INFO - Succès : Mise à jour effectuée pour Latitude 49.0213399997733, Longitude 1.14831899956664
2024-10-06 18:23:10,656 - INFO - Ligne 21/2618 : Mise à jour de la date et heure pour 46.1955999993861, 6.21125000009234
2024-10-06 18:23:10,669 - INFO - Succès : Mise à jour effectuée pour Latitude 46.1955999993861, Longitude 6.21125000009234
2024-10-06 18:23:10,669 - INFO - Ligne 22/2618 : Mise à jour de la date et heure pour 47.2747599997626, 4.09947599964745
2024-10-06 18:23:10,681 - INFO - Succès : Mise à jour effectuée pour Latitude 47.2747599997626, Longitude 4.09947599964745
2024-10-06 18:23:10,681 - INFO - Ligne 23/2618 : Mise à jour de la date et heure pour 14.6074439996039, -61.0697800003841
2024-10-06 18:23:10,693 - INFO - Succès : Mise à jour effectuée pour Latitude 14.6074439996039, Longitude -61.0697800003841
2024-10-06 18:23:10,694 - INFO - Ligne 24/2618 : Mise à jour de la date et heure pour 45.6082199999151, 5.27087200021089
2024-10-06 18:23:10,707 - INFO - Succès : Mise à jour effectuée pour Latitude 45.6082199999151, Longitude 5.27087200021089
2024-10-06 18:23:10,707 - INFO - Ligne 25/2618 : Mise à jour de la date et heure pour 43.4702379999568, -1.55387600021659
2024-10-06 18:23:10,719 - INFO - Succès : Mise à jour effectuée pour Latitude 43.4702379999568, Longitude -1.55387600021659
2024-10-06 18:23:10,720 - INFO - Ligne 26/2618 : Mise à jour de la date et heure pour 47.3073699998269, 5.06588099964679
2024-10-06 18:23:10,731 - INFO - Succès : Mise à jour effectuée pour Latitude 47.3073699998269, Longitude 5.06588099964679
2024-10-06 18:23:10,732 - INFO - Ligne 27/2618 : Mise à jour de la date et heure pour 45.7577319999332, 4.85421400016547
2024-10-06 18:23:10,744 - INFO - Succès : Mise à jour effectuée pour Latitude 45.7577319999332, Longitude 4.85421400016547
2024-10-06 18:23:10,744 - INFO - Ligne 28/2618 : Mise à jour de la date et heure pour 42.5358300001085, 9.47597199989833
2024-10-06 18:23:10,756 - INFO - Succès : Mise à jour effectuée pour Latitude 42.5358300001085, Longitude 9.47597199989833
2024-10-06 18:23:10,756 - INFO - Ligne 29/2618 : Mise à jour de la date et heure pour 48.5413900000572, 2.66138900015433
2024-10-06 18:23:10,768 - INFO - Succès : Mise à jour effectuée pour Latitude 48.5413900000572, Longitude 2.66138900015433
2024-10-06 18:23:10,769 - INFO - Ligne 30/2618 : Mise à jour de la date et heure pour 50.3227600000871, 3.39593000027307
2024-10-06 18:23:10,785 - INFO - Succès : Mise à jour effectuée pour Latitude 50.3227600000871, Longitude 3.39593000027307
2024-10-06 18:23:10,786 - INFO - Ligne 31/2618 : Mise à jour de la date et heure pour 48.8621199998727, 2.34461599976858
2024-10-06 18:23:10,801 - INFO - Succès : Mise à jour effectuée pour Latitude 48.8621199998727, Longitude 2.34461599976858
2024-10-06 18:23:10,802 - INFO - Ligne 32/2618 : Mise à jour de la date et heure pour 49.1677799998708, 5.38746100010222
2024-10-06 18:23:10,817 - INFO - Succès : Mise à jour effectuée pour Latitude 49.1677799998708, Longitude 5.38746100010222
2024-10-06 18:23:10,819 - INFO - Ligne 33/2618 : Mise à jour de la date et heure pour 48.9038999997566, 2.38470000004744
2024-10-06 18:23:10,833 - INFO - Succès : Mise à jour effectuée pour Latitude 48.9038999997566, Longitude 2.38470000004744
2024-10-06 18:23:10,834 - INFO - Ligne 34/2618 : Mise à jour de la date et heure pour 48.9038999997566, 2.38470000004744
2024-10-06 18:23:10,850 - INFO - Succès : Mise à jour effectuée pour Latitude 48.9038999997566, Longitude 2.38470000004744
2024-10-06 18:23:10,851 - INFO - Ligne 35/2618 : Mise à jour de la date et heure pour 48.9372200002586, 2.36166700032988
2024-10-06 18:23:10,867 - INFO - Succès : Mise à jour effectuée pour Latitude 48.9372200002586, Longitude 2.36166700032988
2024-10-06 18:23:10,868 - INFO - Ligne 36/2618 : Mise à jour de la date et heure pour 43.4165300001598, 5.2222810000055
2024-10-06 18:23:10,883 - INFO - Succès : Mise à jour effectuée pour Latitude 43.4165300001598, Longitude 5.2222810000055
2024-10-06 18:23:10,884 - INFO - Ligne 37/2618 : Mise à jour de la date et heure pour 43.4165300001598, 5.2222810000055
2024-10-06 18:23:10,901 - INFO - Succès : Mise à jour effectuée pour Latitude 43.4165300001598, Longitude 5.2222810000055
2024-10-06 18:23:10,901 - INFO - Ligne 38/2618 : Mise à jour de la date et heure pour 48.8183500000267, 7.78640900010634
2024-10-06 18:23:10,914 - INFO - Succès : Mise à jour effectuée pour Latitude 48.8183500000267, Longitude 7.78640900010634
2024-10-06 18:23:10,915 - INFO - Ligne 39/2618 : Mise à jour de la date et heure pour 48.7991680000162, 2.13055599976146
2024-10-06 18:23:10,927 - INFO - Succès : Mise à jour effectuée pour Latitude 48.7991680000162, Longitude 2.13055599976146
2024-10-06 18:23:10,927 - INFO - Ligne 40/2618 : Mise à jour de la date et heure pour 49.9077799999888, 4.63000000024383
2024-10-06 18:23:10,939 - INFO - Succès : Mise à jour effectuée pour Latitude 49.9077799999888, Longitude 4.63000000024383
2024-10-06 18:23:10,940 - INFO - Ligne 41/2618 : Mise à jour de la date et heure pour 48.3016660002666, 4.07694400024531
2024-10-06 18:23:10,954 - INFO - Succès : Mise à jour effectuée pour Latitude 48.3016660002666, Longitude 4.07694400024531
2024-10-06 18:23:10,954 - INFO - Ligne 42/2618 : Mise à jour de la date et heure pour 43.5873450000132, 1.44400300032376
2024-10-06 18:23:10,966 - INFO - Succès : Mise à jour effectuée pour Latitude 43.5873450000132, Longitude 1.44400300032376
2024-10-06 18:23:10,967 - INFO - Ligne 43/2618 : Mise à jour de la date et heure pour 49.1749299998364, 3.26081899955954
2024-10-06 18:23:10,979 - INFO - Succès : Mise à jour effectuée pour Latitude 49.1749299998364, Longitude 3.26081899955954
2024-10-06 18:23:10,979 - INFO - Ligne 44/2618 : Mise à jour de la date et heure pour 49.1749299998364, 3.26081899955954
2024-10-06 18:23:10,994 - INFO - Succès : Mise à jour effectuée pour Latitude 49.1749299998364, Longitude 3.26081899955954
2024-10-06 18:23:10,994 - INFO - Ligne 45/2618 : Mise à jour de la date et heure pour 49.2241669997297, 4.02055599976787
2024-10-06 18:23:11,010 - INFO - Succès : Mise à jour effectuée pour Latitude 49.2241669997297, Longitude 4.02055599976787
2024-10-06 18:23:11,010 - INFO - Ligne 46/2618 : Mise à jour de la date et heure pour 50.7482300002354, 2.25977999995667
2024-10-06 18:23:11,028 - INFO - Succès : Mise à jour effectuée pour Latitude 50.7482300002354, Longitude 2.25977999995667
2024-10-06 18:23:11,029 - INFO - Ligne 47/2618 : Mise à jour de la date et heure pour 48.6458359997777, 4.96611099961485
2024-10-06 18:23:11,048 - INFO - Succès : Mise à jour effectuée pour Latitude 48.6458359997777, Longitude 4.96611099961485
2024-10-06 18:23:11,048 - INFO - Ligne 48/2618 : Mise à jour de la date et heure pour 43.6236080001413, 1.43853099990713
2024-10-06 18:23:11,065 - INFO - Succès : Mise à jour effectuée pour Latitude 43.6236080001413, Longitude 1.43853099990713
2024-10-06 18:23:11,065 - INFO - Ligne 49/2618 : Mise à jour de la date et heure pour 51.0327599998369, 2.33235799993157
2024-10-06 18:23:11,082 - INFO - Succès : Mise à jour effectuée pour Latitude 51.0327599998369, Longitude 2.33235799993157
2024-10-06 18:23:11,082 - INFO - Ligne 50/2618 : Mise à jour de la date et heure pour 43.5756949998691, 1.41806400006942
2024-10-06 18:23:11,096 - INFO - Succès : Mise à jour effectuée pour Latitude 43.5756949998691, Longitude 1.41806400006942
2024-10-06 18:23:11,097 - INFO - Ligne 51/2618 : Mise à jour de la date et heure pour 47.9710660000466, 0.221422000085985
2024-10-06 18:23:11,111 - INFO - Succès : Mise à jour effectuée pour Latitude 47.9710660000466, Longitude 0.221422000085985
2024-10-06 18:23:11,111 - INFO - Ligne 52/2618 : Mise à jour de la date et heure pour 47.7877299999136, -0.444044000271216
2024-10-06 18:23:11,125 - INFO - Succès : Mise à jour effectuée pour Latitude 47.7877299999136, Longitude -0.444044000271216
2024-10-06 18:23:11,125 - INFO - Ligne 53/2618 : Mise à jour de la date et heure pour 50.9472900000261, 1.84308000007845
2024-10-06 18:23:11,138 - INFO - Succès : Mise à jour effectuée pour Latitude 50.9472900000261, Longitude 1.84308000007845
2024-10-06 18:23:11,139 - INFO - Ligne 54/2618 : Mise à jour de la date et heure pour 50.9959400001875, 2.36627000018506
2024-10-06 18:23:11,152 - INFO - Succès : Mise à jour effectuée pour Latitude 50.9959400001875, Longitude 2.36627000018506
2024-10-06 18:23:11,152 - INFO - Ligne 55/2618 : Mise à jour de la date et heure pour 43.4413900001802, 1.82194399969583
2024-10-06 18:23:11,165 - INFO - Succès : Mise à jour effectuée pour Latitude 43.4413900001802, Longitude 1.82194399969583
2024-10-06 18:23:11,166 - INFO - Ligne 56/2618 : Mise à jour de la date et heure pour 46.6566850000422, -0.743680999706857
2024-10-06 18:23:11,179 - INFO - Succès : Mise à jour effectuée pour Latitude 46.6566850000422, Longitude -0.743680999706857
2024-10-06 18:23:11,179 - INFO - Ligne 57/2618 : Mise à jour de la date et heure pour 45.7690000000847, 3.1550000004242
2024-10-06 18:23:11,195 - INFO - Succès : Mise à jour effectuée pour Latitude 45.7690000000847, Longitude 3.1550000004242
2024-10-06 18:23:11,195 - INFO - Ligne 58/2618 : Mise à jour de la date et heure pour 46.3407199997582, 2.59394499958895
2024-10-06 18:23:11,220 - INFO - Succès : Mise à jour effectuée pour Latitude 46.3407199997582, Longitude 2.59394499958895
2024-10-06 18:23:11,221 - INFO - Ligne 59/2618 : Mise à jour de la date et heure pour 49.4983000002172, 0.142706000420907
2024-10-06 18:23:11,239 - INFO - Succès : Mise à jour effectuée pour Latitude 49.4983000002172, Longitude 0.142706000420907
2024-10-06 18:23:11,240 - INFO - Ligne 60/2618 : Mise à jour de la date et heure pour 46.6526679998459, 3.60066700039397
2024-10-06 18:23:11,262 - INFO - Succès : Mise à jour effectuée pour Latitude 46.6526679998459, Longitude 3.60066700039397
2024-10-06 18:23:11,263 - INFO - Ligne 61/2618 : Mise à jour de la date et heure pour 49.5146869998804, 0.100645000441171
2024-10-06 18:23:11,283 - INFO - Succès : Mise à jour effectuée pour Latitude 49.5146869998804, Longitude 0.100645000441171
2024-10-06 18:23:11,286 - INFO - Ligne 62/2618 : Mise à jour de la date et heure pour 43.6757999997234, 4.08838000027485
2024-10-06 18:23:11,303 - INFO - Succès : Mise à jour effectuée pour Latitude 43.6757999997234, Longitude 4.08838000027485
2024-10-06 18:23:11,304 - INFO - Ligne 63/2618 : Mise à jour de la date et heure pour 48.6215020000024, 6.19492199960431
2024-10-06 18:23:11,319 - INFO - Succès : Mise à jour effectuée pour Latitude 48.6215020000024, Longitude 6.19492199960431
2024-10-06 18:23:11,320 - INFO - Ligne 64/2618 : Mise à jour de la date et heure pour 48.1727800002807, 6.45281099995298
2024-10-06 18:23:11,333 - INFO - Succès : Mise à jour effectuée pour Latitude 48.1727800002807, Longitude 6.45281099995298
2024-10-06 18:23:11,333 - INFO - Ligne 65/2618 : Mise à jour de la date et heure pour 43.310833, -0.391111
2024-10-06 18:23:11,347 - INFO - Succès : Mise à jour effectuée pour Latitude 43.310833, Longitude -0.391111
2024-10-06 18:23:11,348 - INFO - Ligne 66/2618 : Mise à jour de la date et heure pour 43.096943, -0.038889
2024-10-06 18:23:11,361 - INFO - Succès : Mise à jour effectuée pour Latitude 43.096943, Longitude -0.038889
2024-10-06 18:23:11,362 - INFO - Ligne 67/2618 : Mise à jour de la date et heure pour 46.17, 1.87
2024-10-06 18:23:11,376 - INFO - Succès : Mise à jour effectuée pour Latitude 46.17, Longitude 1.87
2024-10-06 18:23:11,377 - INFO - Ligne 68/2618 : Mise à jour de la date et heure pour 44.84139, -0.65
2024-10-06 18:23:11,391 - INFO - Succès : Mise à jour effectuée pour Latitude 44.84139, Longitude -0.65
2024-10-06 18:23:11,391 - INFO - Ligne 69/2618 : Mise à jour de la date et heure pour 43.63028, 0.179722
2024-10-06 18:23:11,406 - INFO - Succès : Mise à jour effectuée pour Latitude 43.63028, Longitude 0.179722
2024-10-06 18:23:11,406 - INFO - Ligne 70/2618 : Mise à jour de la date et heure pour 48.575985, 7.727478
2024-10-06 18:23:11,424 - INFO - Succès : Mise à jour effectuée pour Latitude 48.575985, Longitude 7.727478
2024-10-06 18:23:11,424 - INFO - Ligne 71/2618 : Mise à jour de la date et heure pour 48.7314125600919, 1.36388514642015
2024-10-06 18:23:11,440 - INFO - Succès : Mise à jour effectuée pour Latitude 48.7314125600919, Longitude 1.36388514642015
2024-10-06 18:23:11,441 - INFO - Ligne 72/2618 : Mise à jour de la date et heure pour 47.648889066211, -2.76389155041474
2024-10-06 18:23:11,460 - INFO - Succès : Mise à jour effectuée pour Latitude 47.648889066211, Longitude -2.76389155041474
2024-10-06 18:23:11,461 - INFO - Ligne 73/2618 : Mise à jour de la date et heure pour 46.7824722190452, 4.84726435734473
2024-10-06 18:23:11,478 - INFO - Succès : Mise à jour effectuée pour Latitude 46.7824722190452, Longitude 4.84726435734473
2024-10-06 18:23:11,478 - INFO - Ligne 74/2618 : Mise à jour de la date et heure pour 50.9959079994751, 2.365994
2024-10-06 18:23:11,495 - INFO - Succès : Mise à jour effectuée pour Latitude 50.9959079994751, Longitude 2.365994
2024-10-06 18:23:11,496 - INFO - Ligne 75/2618 : Mise à jour de la date et heure pour 48.6963231696882, 6.14612046034746
2024-10-06 18:23:11,514 - INFO - Succès : Mise à jour effectuée pour Latitude 48.6963231696882, Longitude 6.14612046034746
2024-10-06 18:23:11,514 - INFO - Ligne 76/2618 : Mise à jour de la date et heure pour 45.7757153069085, 3.09625023923328
2024-10-06 18:23:11,528 - INFO - Succès : Mise à jour effectuée pour Latitude 45.7757153069085, Longitude 3.09625023923328
2024-10-06 18:23:11,528 - INFO - Ligne 77/2618 : Mise à jour de la date et heure pour 46.9429682344805, 2.00326104989222
2024-10-06 18:23:11,542 - INFO - Succès : Mise à jour effectuée pour Latitude 46.9429682344805, Longitude 2.00326104989222
2024-10-06 18:23:11,542 - INFO - Ligne 78/2618 : Mise à jour de la date et heure pour 49.6363812210033, -1.62666931648363
2024-10-06 18:23:11,555 - INFO - Succès : Mise à jour effectuée pour Latitude 49.6363812210033, Longitude -1.62666931648363
2024-10-06 18:23:11,556 - INFO - Ligne 79/2618 : Mise à jour de la date et heure pour 49.3247183840929, 6.07610576710319
2024-10-06 18:23:11,568 - INFO - Succès : Mise à jour effectuée pour Latitude 49.3247183840929, Longitude 6.07610576710319
2024-10-06 18:23:11,569 - INFO - Ligne 80/2618 : Mise à jour de la date et heure pour 46.3295859994638, -0.458889
2024-10-06 18:23:11,581 - INFO - Succès : Mise à jour effectuée pour Latitude 46.3295859994638, Longitude -0.458889
2024-10-06 18:23:11,582 - INFO - Ligne 81/2618 : Mise à jour de la date et heure pour 47.8319337214448, -1.83632712064428
2024-10-06 18:23:11,595 - INFO - Succès : Mise à jour effectuée pour Latitude 47.8319337214448, Longitude -1.83632712064428
2024-10-06 18:23:11,595 - INFO - Ligne 82/2618 : Mise à jour de la date et heure pour 44.1922219994633, 0.623889
2024-10-06 18:23:11,608 - INFO - Succès : Mise à jour effectuée pour Latitude 44.1922219994633, Longitude 0.623889
2024-10-06 18:23:11,609 - INFO - Ligne 83/2618 : Mise à jour de la date et heure pour 48.654741414049, -1.99613740968915
2024-10-06 18:23:11,627 - INFO - Succès : Mise à jour effectuée pour Latitude 48.654741414049, Longitude -1.99613740968915
2024-10-06 18:23:11,627 - INFO - Ligne 84/2618 : Mise à jour de la date et heure pour 14.6661999997358, -61.1501
2024-10-06 18:23:11,644 - INFO - Succès : Mise à jour effectuée pour Latitude 14.6661999997358, Longitude -61.1501
2024-10-06 18:23:11,644 - INFO - Ligne 85/2618 : Mise à jour de la date et heure pour 51.0112059994752, 2.293056
2024-10-06 18:23:11,660 - INFO - Succès : Mise à jour effectuée pour Latitude 51.0112059994752, Longitude 2.293056
2024-10-06 18:23:11,660 - INFO - Ligne 86/2618 : Mise à jour de la date et heure pour 50.1752779994721, 3.234167
2024-10-06 18:23:11,677 - INFO - Succès : Mise à jour effectuée pour Latitude 50.1752779994721, Longitude 3.234167
2024-10-06 18:23:11,678 - INFO - Ligne 87/2618 : Mise à jour de la date et heure pour 47.344499999465, 0.653322
2024-10-06 18:23:11,696 - INFO - Succès : Mise à jour effectuée pour Latitude 47.344499999465, Longitude 0.653322
2024-10-06 18:23:11,697 - INFO - Ligne 88/2618 : Mise à jour de la date et heure pour 16.2386999997104, -61.5381
2024-10-06 18:23:11,713 - INFO - Succès : Mise à jour effectuée pour Latitude 16.2386999997104, Longitude -61.5381
2024-10-06 18:23:11,714 - INFO - Ligne 89/2618 : Mise à jour de la date et heure pour 50.4202708576586, 3.55181286926881
2024-10-06 18:23:11,726 - INFO - Succès : Mise à jour effectuée pour Latitude 50.4202708576586, Longitude 3.55181286926881
2024-10-06 18:23:11,726 - INFO - Ligne 90/2618 : Mise à jour de la date et heure pour 50.6872089262531, 2.88004371665139
2024-10-06 18:23:11,738 - INFO - Succès : Mise à jour effectuée pour Latitude 50.6872089262531, Longitude 2.88004371665139
2024-10-06 18:23:11,739 - INFO - Ligne 91/2618 : Mise à jour de la date et heure pour 45.271894982689, 5.6790270589692
2024-10-06 18:23:11,751 - INFO - Succès : Mise à jour effectuée pour Latitude 45.271894982689, Longitude 5.6790270589692
2024-10-06 18:23:11,752 - INFO - Ligne 92/2618 : Mise à jour de la date et heure pour 48.9022199998218, 2.39083299971474
2024-10-06 18:23:11,765 - INFO - Succès : Mise à jour effectuée pour Latitude 48.9022199998218, Longitude 2.39083299971474
2024-10-06 18:23:11,766 - INFO - Ligne 93/2618 : Mise à jour de la date et heure pour 47.3210799999773, -2.12732200005993
2024-10-06 18:23:11,778 - INFO - Succès : Mise à jour effectuée pour Latitude 47.3210799999773, Longitude -2.12732200005993
2024-10-06 18:23:11,779 - INFO - Ligne 94/2618 : Mise à jour de la date et heure pour 45.1587370002402, 1.53725900002356
2024-10-06 18:23:11,793 - INFO - Succès : Mise à jour effectuée pour Latitude 45.1587370002402, Longitude 1.53725900002356
2024-10-06 18:23:11,793 - INFO - Ligne 95/2618 : Mise à jour de la date et heure pour 44.0946899996974, 6.9889779997719
2024-10-06 18:23:11,807 - INFO - Succès : Mise à jour effectuée pour Latitude 44.0946899996974, Longitude 6.9889779997719
2024-10-06 18:23:11,808 - INFO - Ligne 96/2618 : Mise à jour de la date et heure pour 44.8612099998848, -0.580370000254293
2024-10-06 18:23:11,826 - INFO - Succès : Mise à jour effectuée pour Latitude 44.8612099998848, Longitude -0.580370000254293
2024-10-06 18:23:11,827 - INFO - Ligne 97/2618 : Mise à jour de la date et heure pour 44.8413730001661, -0.65106799971438
2024-10-06 18:23:11,842 - INFO - Succès : Mise à jour effectuée pour Latitude 44.8413730001661, Longitude -0.65106799971438
2024-10-06 18:23:11,843 - INFO - Ligne 98/2618 : Mise à jour de la date et heure pour 46.1736200000662, 1.87302399978817
2024-10-06 18:23:11,860 - INFO - Succès : Mise à jour effectuée pour Latitude 46.1736200000662, Longitude 1.87302399978817
2024-10-06 18:23:11,860 - INFO - Ligne 99/2618 : Mise à jour de la date et heure pour 48.1152100001935, -1.67308799988918
2024-10-06 18:23:11,877 - INFO - Succès : Mise à jour effectuée pour Latitude 48.1152100001935, Longitude -1.67308799988918
2024-10-06 18:23:11,878 - INFO - Ligne 100/2618 : Mise à jour de la date et heure pour 48.7066999998811, 2.45720000020453
2024-10-06 18:23:11,895 - INFO - Succès : Mise à jour effectuée pour Latitude 48.7066999998811, Longitude 2.45720000020453
2024-10-06 18:23:11,896 - INFO - Ligne 101/2618 : Mise à jour de la date et heure pour 49.358214999835, 1.00785300040897
2024-10-06 18:23:11,910 - INFO - Succès : Mise à jour effectuée pour Latitude 49.358214999835, Longitude 1.00785300040897
2024-10-06 18:23:11,911 - INFO - Ligne 102/2618 : Mise à jour de la date et heure pour 48.8573100002683, 7.31417500024352
2024-10-06 18:23:11,925 - INFO - Succès : Mise à jour effectuée pour Latitude 48.8573100002683, Longitude 7.31417500024352
2024-10-06 18:23:11,925 - INFO - Ligne 103/2618 : Mise à jour de la date et heure pour 45.8733100001496, 1.30791599981697
2024-10-06 18:23:11,937 - INFO - Succès : Mise à jour effectuée pour Latitude 45.8733100001496, Longitude 1.30791599981697
2024-10-06 18:23:11,938 - INFO - Ligne 104/2618 : Mise à jour de la date et heure pour 48.5880550000064, 7.72972199987815
2024-10-06 18:23:11,951 - INFO - Succès : Mise à jour effectuée pour Latitude 48.5880550000064, Longitude 7.72972199987815
2024-10-06 18:23:11,951 - INFO - Ligne 105/2618 : Mise à jour de la date et heure pour 16.2573069997402, -61.5917240003607
2024-10-06 18:23:11,963 - INFO - Succès : Mise à jour effectuée pour Latitude 16.2573069997402, Longitude -61.5917240003607
2024-10-06 18:23:11,963 - INFO - Ligne 106/2618 : Mise à jour de la date et heure pour 43.5583879998064, 7.00591899983004
2024-10-06 18:23:11,975 - INFO - Succès : Mise à jour effectuée pour Latitude 43.5583879998064, Longitude 7.00591899983004
2024-10-06 18:23:11,976 - INFO - Ligne 107/2618 : Mise à jour de la date et heure pour 46.2116659998982, 5.22638900029136
2024-10-06 18:23:11,987 - INFO - Succès : Mise à jour effectuée pour Latitude 46.2116659998982, Longitude 5.22638900029136
2024-10-06 18:23:11,988 - INFO - Ligne 108/2618 : Mise à jour de la date et heure pour 46.7982800002074, 1.69313899980028
2024-10-06 18:23:12,000 - INFO - Succès : Mise à jour effectuée pour Latitude 46.7982800002074, Longitude 1.69313899980028
2024-10-06 18:23:12,000 - INFO - Ligne 109/2618 : Mise à jour de la date et heure pour 46.7982800002074, 1.69313899980028
2024-10-06 18:23:12,012 - INFO - Succès : Mise à jour effectuée pour Latitude 46.7982800002074, Longitude 1.69313899980028
2024-10-06 18:23:12,012 - INFO - Ligne 110/2618 : Mise à jour de la date et heure pour 49.1922200000328, -0.391111000326555
2024-10-06 18:23:12,029 - INFO - Succès : Mise à jour effectuée pour Latitude 49.1922200000328, Longitude -0.391111000326555
2024-10-06 18:23:12,030 - INFO - Ligne 111/2618 : Mise à jour de la date et heure pour 45.9096999999883, 6.11824999958726
2024-10-06 18:23:12,048 - INFO - Succès : Mise à jour effectuée pour Latitude 45.9096999999883, Longitude 6.11824999958726
2024-10-06 18:23:12,049 - INFO - Ligne 112/2618 : Mise à jour de la date et heure pour 46.1958299999168, 6.24055600011761
2024-10-06 18:23:12,066 - INFO - Succès : Mise à jour effectuée pour Latitude 46.1958299999168, Longitude 6.24055600011761
